frame,ped_id,y_pixel,x_pixel
2,1,173,1208
2,2,435,265
2,3,369,976
2,4,281,1041
2,6,331,961
2,7,374,706
3,1,174,1205
3,2,435,265
3,3,369,974
3,4,281,1039
3,6,331,961
3,7,374,703
3,9,149,1026
4,1,174,1203
4,2,436,264
4,3,369,971
4,4,281,1039
4,6,332,959
4,7,373,702
4,9,149,1023
5,1,175,1198
5,2,437,263
5,3,368,968
5,4,281,1037
5,6,331,954
5,7,372,699
5,9,149,1020
5,13,406,964
6,1,175,1196
6,2,437,262
6,3,368,964
6,4,281,1037
6,6,330,953
6,7,372,698
6,9,149,1018
6,13,406,963
7,1,176,1193
7,2,437,261
7,3,367,961
7,4,281,1029
7,6,330,951
7,7,371,696
7,9,149,1014
7,13,406,961
7,17,116,989
8,1,176,1191
8,2,438,260
8,3,367,960
8,4,280,1027
8,6,330,949
8,7,371,694
8,9,149,1012
8,13,406,959
8,17,115,987
8,19,665,558
9,1,177,1186
9,2,439,258
9,3,367,956
9,4,280,1024
9,6,331,945
9,7,368,692
9,9,150,1009
9,13,407,955
9,17,115,984
9,19,661,558
10,1,177,1184
10,2,440,257
10,3,367,953
10,4,280,1022
10,6,333,944
10,7,367,690
10,9,150,1007
10,13,407,953
10,17,114,982
10,19,660,559
10,21,692,592
11,1,177,1181
11,2,441,256
11,3,365,951
11,4,279,1020
11,6,333,940
11,7,366,690
11,9,150,1003
11,13,408,951
11,17,112,978
11,19,658,559
11,21,691,591
11,23,216,1265
12,1,177,1180
12,2,442,255
12,3,364,948
12,4,279,1018
12,6,333,938
12,7,365,688
12,9,150,1001
12,13,408,948
12,17,111,977
12,19,656,558
12,21,690,590
12,23,216,1263
12,25,286,983
12,26,123,1098
13,1,177,1178
13,2,442,253
13,3,363,947
13,4,279,1016
13,6,334,935
13,7,365,683
13,9,150,996
13,13,408,945
13,17,109,973
13,19,653,558
13,21,689,589
13,23,217,1259
13,25,285,979
13,26,123,1095
13,27,187,1259
14,1,177,1173
14,2,443,252
14,3,362,944
14,4,279,1014
14,6,334,932
14,7,364,683
14,9,150,993
14,13,408,942
14,17,108,971
14,19,651,559
14,21,684,589
14,23,217,1255
14,25,285,977
14,26,123,1093
14,27,187,1256
15,1,178,1171
15,2,443,250
15,3,362,942
15,4,279,1011
15,6,334,931
15,7,364,683
15,9,150,991
15,13,408,939
15,17,107,968
15,19,649,558
15,21,682,590
15,23,216,1253
15,25,284,975
15,26,123,1091
15,27,187,1253
15,29,695,550
16,1,178,1169
16,2,444,249
16,3,361,940
16,4,270,1009
16,6,333,928
16,7,362,681
16,9,151,988
16,13,409,937
16,17,105,966
16,19,647,558
16,21,680,589
16,23,215,1251
16,25,284,972
16,26,123,1089
16,27,186,1250
16,29,694,550
17,1,178,1164
17,2,444,247
17,3,362,936
17,4,269,1007
17,6,332,925
17,7,359,678
17,9,150,985
17,13,409,934
17,17,104,964
17,19,645,558
17,21,677,589
17,23,214,1247
17,25,283,967
17,26,123,1085
17,27,184,1244
17,29,690,549
18,1,178,1161
18,2,444,245
18,3,361,934
18,4,268,1004
18,6,332,922
18,7,358,677
18,9,150,981
18,13,409,932
18,17,103,961
18,19,641,560
18,21,675,589
18,23,213,1244
18,25,283,965
18,26,123,1083
18,27,183,1241
18,29,687,549
19,1,177,1159
19,2,444,244
19,3,360,933
19,4,267,1001
19,6,332,920
19,7,358,677
19,9,150,978
19,13,411,928
19,17,102,959
19,19,639,560
19,21,673,590
19,23,212,1242
19,25,284,963
19,26,123,1080
19,27,182,1240
19,29,685,549
19,31,200,1155
20,1,176,1156
20,2,445,242
20,3,359,931
20,4,267,999
20,6,331,918
20,7,358,676
20,9,150,975
20,13,412,926
20,17,101,956
20,19,637,559
20,21,671,589
20,23,211,1240
20,25,284,961
20,26,122,1079
20,27,182,1237
20,29,683,549
20,31,199,1154
21,1,175,1152
21,2,445,239
21,3,359,926
21,4,266,997
21,6,330,915
21,7,357,675
21,9,150,972
21,13,412,923
21,17,100,954
21,19,635,558
21,21,667,588
21,23,210,1236
21,25,284,958
21,26,122,1077
21,27,181,1234
21,29,680,548
21,31,199,1153
22,1,175,1149
22,2,445,238
22,3,359,924
22,4,265,994
22,6,330,911
22,7,356,674
22,9,150,970
22,13,412,920
22,17,100,952
22,19,633,558
22,21,665,588
22,23,209,1233
22,25,284,956
22,26,122,1075
22,27,181,1231
22,29,678,548
22,31,199,1153
23,1,174,1146
23,2,445,236
23,3,359,921
23,4,264,992
23,6,329,909
23,7,355,674
23,9,150,967
23,13,412,918
23,17,100,950
23,19,632,558
23,21,663,587
23,23,209,1231
23,25,283,954
23,26,122,1073
23,27,180,1229
23,29,677,548
23,31,198,1152
24,1,174,1144
24,2,445,234
24,3,359,919
24,4,263,990
24,6,329,907
24,7,354,672
24,9,149,964
24,13,412,916
24,17,101,948
24,19,630,557
24,21,662,586
24,23,208,1230
24,25,282,952
24,26,122,1069
24,27,180,1226
24,29,675,547
24,31,198,1151
25,1,173,1141
25,2,445,231
25,3,359,916
25,4,262,989
25,6,328,903
25,7,354,671
25,9,149,961
25,13,411,912
25,17,100,945
25,19,628,557
25,21,660,585
25,23,208,1227
25,25,282,949
25,26,123,1067
25,27,180,1222
25,29,671,547
25,31,198,1151
26,1,173,1139
26,2,445,229
26,3,358,914
26,4,261,986
26,6,327,901
26,7,353,670
26,9,149,958
26,13,411,910
26,17,101,941
26,19,626,557
26,21,658,585
26,23,207,1225
26,25,283,946
26,26,123,1064
26,27,180,1220
26,29,669,547
26,31,197,1150
26,34,260,758
27,1,173,1137
27,2,445,227
27,3,361,909
27,4,260,984
27,6,327,899
27,7,352,669
27,9,145,955
27,13,411,908
27,17,101,938
27,19,624,556
27,21,656,584
27,23,206,1222
27,25,283,944
27,26,123,1062
27,27,180,1216
27,29,667,546
27,31,197,1149
27,34,259,757
28,1,174,1134
28,2,446,225
28,3,361,909
28,4,259,982
28,6,327,897
28,7,351,668
28,9,144,953
28,13,412,905
28,17,101,937
28,19,622,555
28,21,654,584
28,23,206,1220
28,25,282,941
28,26,123,1060
28,27,180,1213
28,29,665,546
28,31,197,1148
28,34,258,758
29,1,174,1131
29,2,446,223
29,3,361,906
29,4,258,979
29,6,327,895
29,7,350,667
29,9,143,949
29,13,412,902
29,17,101,935
29,19,619,555
29,21,652,580
29,23,205,1217
29,25,282,939
29,26,124,1058
29,27,180,1210
29,29,663,547
29,31,196,1148
29,34,257,753
30,1,174,1129
30,2,446,222
30,3,361,904
30,4,268,975
30,6,327,892
30,7,349,665
30,9,143,946
30,13,412,900
30,17,101,932
30,19,617,554
30,21,651,580
30,23,204,1215
30,25,281,936
30,26,124,1056
30,27,180,1207
30,29,662,547
30,31,196,1147
30,34,256,751
31,1,174,1126
31,2,446,220
31,3,361,901
31,4,268,973
31,6,327,891
31,7,348,664
31,9,142,943
31,13,412,897
31,17,101,928
31,19,615,554
31,21,650,578
31,23,204,1212
31,25,281,934
31,26,124,1053
31,27,180,1204
31,29,660,547
31,31,196,1146
31,34,256,750
32,1,174,1124
32,2,447,219
32,3,361,899
32,4,268,970
32,6,327,889
32,7,347,663
32,9,142,942
32,13,412,894
32,17,101,926
